BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,10
BALPHARMA,Bal Pharma Limited,EQ,10
BANARBEADS,Banaras Beads Limited,EQ,10
BANARISUG,Bannari Amman Sugars Limited,EQ,10
BANDHANBNK,Bandhan Bank Limited,EQ,10
BANG,Bang Overseas Limited,EQ,10
BANKA,Banka BioLoo Limited,EQ,10
BANKINDIA,Bank of India,EQ,10
BASF,BASF India Limited,EQ,10
BAYERCROP,Bayer Cropscience Limited,EQ,10
BBL,Bharat Bijlee Limited,EQ,10
BBTCL,B&B Triplewall Containers Limited,EQ,10
BCLIND,Bcl Industries Limited,EQ,10
BCONCEPTS,Brand Concepts Limited,BE,10
BDL,Bharat Dynamics Limited,EQ,10
BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ,10
BEDMUTHA,Bedmutha Industries Limited,EQ,10
BEML,BEML Limited,EQ,10
BESTAGRO,Best Agrolife Limited,EQ,10
BGRENERGY,BGR Energy Systems Limited,EQ,10
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,EQ,10
BHARATGEAR,Bharat Gears Limited,EQ,10
BHARATRAS,Bharat Rasayan Limited,EQ,10
BHARATWIRE,Bharat Wire Ropes Limited,EQ,10
BIL,Bhartiya International Limited,EQ,10
BINANIIND,Binani Industries Limited,BE,10
BINDALAGRO,Oswal Chemicals & Fertilizers Limited,EQ,10
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ,10
BIRLACABLE,Birla Cable Limited,EQ,10
BIRLACORPN,Birla Corporation Limited,EQ,10
BIRLATYRE,Birla Tyres Limited,BE,10
BLUEDART,Blue Dart Express Limited,EQ,10
BOHRAIND,Bohra Industries Limited,BE,10
BOSCHLTD,Bosch Limited,EQ,10
BPCL,Bharat Petroleum Corporation Limited,EQ,10
BPL,BPL Limited,EQ,10
BRIGADE,Brigade Enterprises Limited,EQ,10
BRNL,Bharat Road Network Limited,EQ,10
BROOKS,Brooks Laboratories Limited,EQ,10
BSL,BSL Limited,BE,10
BTML,Bodhi Tree Multimedia Limited,EQ,10
BURNPUR,Burnpur Cement Limited,EQ,10
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ,10
BVCL,Barak Valley Cements Limited,EQ,10
BYKE,The Byke Hospitality Ltd,EQ,10
CALSOFT,California Software Company Limited,EQ,10
